trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
2572,False,"{'a': 0.6, 'e': 0.6693694000000001}",25,15,-43.27372177002254,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 1}",1
2573,False,"{'a': 0.6, 'e': 0.6691122000000002}",20,6,-112.02249809133913,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 3}",1
2574,False,"{'a': 0.6, 'e': 0.6688549000000001}",20,14,-6.567796370665859,"{0: 4, 1: 1, 2: 1, 3: 0, 4: 0}",1
2575,False,"{'a': 0.6, 'e': 0.6685975000000002}",25,8,10.667775301377741,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
2576,False,"{'a': 0.6, 'e': 0.6683400000000002}",35,0,-183.35532820595543,"{0: 23, 1: 2, 2: 6, 3: 1, 4: 3}",0
2577,False,"{'a': 0.6, 'e': 0.6680824000000002}",25,0,-42.536952307801165,"{0: 18, 1: 3, 2: 3, 3: 1, 4: 0}",1
2578,False,"{'a': 0.6, 'e': 0.6678247000000002}",25,0,-76.5756270312821,"{0: 17, 1: 1, 2: 6, 3: 0, 4: 1}",0
2579,False,"{'a': 0.6, 'e': 0.6675669000000002}",20,0,-23.178329646371964,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
2580,False,"{'a': 0.6, 'e': 0.6673090000000002}",20,10,-18.001012907105398,"{0: 7, 1: 0, 2: 3, 3: 0, 4: 0}",1
2581,False,"{'a': 0.6, 'e': 0.6670510000000002}",20,0,-91.31211424216956,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",1
2582,False,"{'a': 0.6, 'e': 0.6667929000000001}",25,0,-68.99667031273364,"{0: 17, 1: 3, 2: 4, 3: 0, 4: 1}",0
2583,False,"{'a': 0.6, 'e': 0.6665347000000001}",35,5,-50.142606963787244,"{0: 23, 1: 3, 2: 3, 3: 0, 4: 1}",1
2584,False,"{'a': 0.6, 'e': 0.6662764000000001}",20,10,-19.676945485369572,"{0: 7, 1: 1, 2: 1, 3: 1, 4: 0}",1
2585,False,"{'a': 0.6, 'e': 0.6660180000000001}",20,0,-90.44221548555028,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
2586,False,"{'a': 0.6, 'e': 0.6657595000000001}",25,12,-13.695159954931423,"{0: 10, 1: 1, 2: 1, 3: 1, 4: 0}",1
2587,False,"{'a': 0.6, 'e': 0.6655009000000001}",25,0,-27.1685096136967,"{0: 20, 1: 1, 2: 3, 3: 1, 4: 0}",0
2588,False,"{'a': 0.6, 'e': 0.6652422000000001}",25,0,-117.61859874386626,"{0: 13, 1: 2, 2: 7, 3: 3, 4: 0}",1
2589,False,"{'a': 0.6, 'e': 0.6649834000000001}",20,0,-18.164890191502884,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",0
2590,False,"{'a': 0.6, 'e': 0.6647245000000002}",20,0,-52.765258952356646,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
2591,False,"{'a': 0.6, 'e': 0.6644655000000002}",20,14,-11.297052365602307,"{0: 4, 1: 0, 2: 2, 3: 0, 4: 0}",1
2592,False,"{'a': 0.6, 'e': 0.6642064000000002}",20,0,-86.47189342557752,"{0: 12, 1: 4, 2: 2, 3: 1, 4: 1}",0
2593,False,"{'a': 0.6, 'e': 0.6639472000000002}",25,0,-38.73964270133856,"{0: 19, 1: 1, 2: 4, 3: 1, 4: 0}",0
2594,False,"{'a': 0.6, 'e': 0.6636879000000002}",20,14,-11.274473941851545,"{0: 4, 1: 0, 2: 2, 3: 0, 4: 0}",1
2595,False,"{'a': 0.6, 'e': 0.6634285000000002}",30,4,-53.71638096224895,"{0: 18, 1: 2, 2: 5, 3: 1, 4: 0}",1
2596,False,"{'a': 0.6, 'e': 0.6631690000000002}",25,10,-74.16009032065809,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 2}",1
2597,False,"{'a': 0.6, 'e': 0.6629094000000002}",25,6,-54.58225248553881,"{0: 12, 1: 0, 2: 7, 3: 0, 4: 0}",1
2598,False,"{'a': 0.6, 'e': 0.6626497000000002}",25,0,-55.93299562922884,"{0: 20, 1: 2, 2: 1, 3: 1, 4: 1}",0
2599,False,"{'a': 0.6, 'e': 0.6623899000000002}",20,0,-17.356338524765526,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",0
2600,False,"{'a': 0.6, 'e': 0.6621300000000002}",25,1,-53.538335499744214,"{0: 19, 1: 0, 2: 2, 3: 3, 4: 0}",1
2601,False,"{'a': 0.6, 'e': 0.6618700000000002}",20,0,-56.660668960616945,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
2602,False,"{'a': 0.6, 'e': 0.6616099000000002}",20,10,-32.21081822758447,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 1}",1
2603,False,"{'a': 0.6, 'e': 0.6613497000000002}",25,10,-51.90866442718055,"{0: 10, 1: 2, 2: 2, 3: 0, 4: 1}",1
2604,False,"{'a': 0.6, 'e': 0.6610894000000002}",20,7,-40.84083997937468,"{0: 9, 1: 0, 2: 2, 3: 2, 4: 0}",1
2605,False,"{'a': 0.6, 'e': 0.6608290000000001}",25,8,-69.37825901868376,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 2}",1
2606,False,"{'a': 0.6, 'e': 0.6605685000000001}",25,0,-54.12503294248104,"{0: 18, 1: 0, 2: 6, 3: 1, 4: 0}",0
2607,False,"{'a': 0.6, 'e': 0.6603079000000001}",25,16,-24.443181158958634,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 1}",1
2608,False,"{'a': 0.6, 'e': 0.6600472000000001}",20,0,-33.36286445948443,"{0: 13, 1: 4, 2: 3, 3: 0, 4: 0}",0
2609,False,"{'a': 0.6, 'e': 0.6597864000000001}",30,1,-107.30756081706343,"{0: 21, 1: 1, 2: 3, 3: 3, 4: 1}",1
2610,False,"{'a': 0.6, 'e': 0.6595255000000001}",20,0,-89.76565242724071,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
2611,False,"{'a': 0.6, 'e': 0.6592645000000001}",25,0,-45.57497859812815,"{0: 18, 1: 2, 2: 5, 3: 0, 4: 0}",0
2612,False,"{'a': 0.6, 'e': 0.6590034000000001}",20,0,-72.99430807459414,"{0: 11, 1: 0, 2: 9, 3: 0, 4: 0}",0
2613,False,"{'a': 0.6, 'e': 0.6587422000000002}",30,0,-147.75316887818047,"{0: 21, 1: 4, 2: 1, 3: 1, 4: 3}",0
2614,False,"{'a': 0.6, 'e': 0.6584809000000001}",20,8,-56.41682054588388,"{0: 7, 1: 2, 2: 2, 3: 0, 4: 1}",1
2615,False,"{'a': 0.6, 'e': 0.6582195000000002}",25,13,-61.969775204429865,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 2}",1
2616,False,"{'a': 0.6, 'e': 0.6579580000000002}",20,0,-34.774298334011895,"{0: 14, 1: 3, 2: 2, 3: 1, 4: 0}",0
2617,False,"{'a': 0.6, 'e': 0.6576964000000002}",20,0,-84.37215196721222,"{0: 14, 1: 3, 2: 1, 3: 0, 4: 2}",0
2618,False,"{'a': 0.6, 'e': 0.6574347000000001}",25,18,-0.29012398841286346,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
2619,False,"{'a': 0.6, 'e': 0.6571729000000002}",25,0,-97.31303626763476,"{0: 17, 1: 4, 2: 2, 3: 0, 4: 2}",0
2620,False,"{'a': 0.6, 'e': 0.6569110000000001}",30,0,-180.20251048126354,"{0: 22, 1: 0, 2: 3, 3: 1, 4: 4}",0
2621,False,"{'a': 0.6, 'e': 0.6566490000000001}",20,0,-122.64215297175647,"{0: 10, 1: 4, 2: 4, 3: 0, 4: 2}",0
2622,False,"{'a': 0.6, 'e': 0.6563869000000001}",25,0,-78.68561881713265,"{0: 17, 1: 3, 2: 4, 3: 0, 4: 1}",0
2623,False,"{'a': 0.6, 'e': 0.6561247000000001}",25,3,21.01829067930524,"{0: 21, 1: 1, 2: 0, 3: 0, 4: 0}",1
